food_id	food_name
000020	Farro perlato, crudo
000025	Farro perlato, cotto, bollito
000030	Frumento duro
000040	Frumento tenero
000045	Couscous, crudo
000046	Couscous, cotto
000050	Grano saraceno
000060	Mais
000070	Mais, dolce, in scatola, sgocciolato
000075	Polenta, cruda
000076	Polenta, cotta
000080	Miglio
000081	Miglio, decorticato
000090	Orzo perlato
000095	Orzo perlato, cotto, bollito
000096	Quinoa, cruda
000097	Quinoa, cotta, bollita
000100	Riso, brillato
000105	Riso, brillato, cotto, bollito
000110	Riso, integrale
000115	Riso, integrale, cotto, bollito
000120	Riso, parboiled
000125	Riso, parboiled, cotto, bollito
000130	Riso Basmati, crudo
000135	Riso Basmati, cotto, bollito
000140	Riso Venere, crudo
000145	Riso Venere, cotto, bollito
000150	Crusca di frumento
000200	Farina d'avena
000210	Farina d'orzo
000220	Farina di frumento, tipo 00
000230	Farina di frumento, tipo 0
000240	Farina di frumento, integrale
000250	Farina di frumento, duro
000260	Farina di mais
000270	Farina di riso
000280	Farina di segale
000290	Farina di soia
000300	Mais, amido
000310	Semola
000320	Farina di manioca
000330	Germe di frumento
000500	Pane al malto
000510	Pane di segale
000530	Pane bianco
000540	Pane di tipo semintegrale
000550	Pane di tipo integrale
000560	Pane formato rosetta
000570	Pangrattato
000580	Panini al latte
000590	Panini all'olio
000600	Pane azzimo
000700	Pizza bianca
000710	Pizza con pomodoro
000720	Pizza con pomodoro e mozzarella
000800	Pasta di semola
000805	Pasta di semola, cotta, bollita
000850	Pasta di semola, integrale
000855	Pasta di semola, integrale, cotta, bollita
000870	Pasta all'uovo, secca
000871	Pasta all'uovo, secca, cotta, bollita
000875	Ravioli, crudi, freschi
000876	Ravioli, cotti
000880	Tortellini, freschi
000885	Tortellini, freschi, cotti
000890	Tortellini, secchi
000900	Biscotti, frollini
000910	Biscotti, integrali
000950	Biscotti, secchi
000960	Biscotti, alla soia
000970	Biscotti, integrali, con soia
000990	Biscotti, wafers
001000	Crackers, al formaggio
001010	Crackers, alla soia
001020	Crackers, salati
001030	Crackers, integrali
001500	Fette biscottate
001510	Fette biscottate, integrali
002000	Grissini
002500	Cornetti
002510	Croissants
003000	Bastoncini di crusca di frumento
003020	Corn flakes
003030	Fiocchi d'avena
003040	Muesli
003050	Riso, soffiato, da prima colazione
004000	Ceci, secchi
004005	Ceci, secchi, cotti, bolliti
004010	Ceci, in scatola, scolati
004100	Fagioli
004105	Fagioli, cotti, bolliti
