food_id	food_name
000020	Spelt, grain
000025	Spelt, grain, boiled in water, no salt, drained
000030	Durum wheat, grain
000040	Soft wheat, grain
000045	Couscous, raw
000046	Couscous, cooked
000050	Buckwheat, grain
000060	Sweet corn, grain
000070	Sweet corn, grain, canned
000075	Polenta, raw
000076	Polenta, cooked
000080	Millet, grain
000081	Millet, decorticated, grain
000090	Pearled barley, grain
000095	Pearled barley, grain, boiled in water, no salt, drained
000096	Quinoa, raw
000097	Quinoa, boiled in water, no salt, drained
000100	Rice polished, raw
000105	Rice polished, boiled in distilled water, no salt, drained
000110	Rice, whole, raw
000115	Rice, whole, boiled in distilled water, no salt, drained
000120	Parboiled rice, raw
000125	Parboiled rice, boiled in distilled water, no salt, drained
000130	Basmati rice, raw
000135	Basmati rice, boiled in water, no salt, drained
000140	Venere rice, raw
000145	Venere rice, boiled in water, no salt, drained
000150	Wheat bran
000200	Flour, oat
000210	Flour, barley
000220	Flour, wheat, type 00
000230	Flour, wheat, type 0
000240	Flour, wheat wholemeal
000250	Flour, durum wheat
000260	Flour, corn
000270	Flour, rice
000280	Flour, rye
000290	Flour, soybean
000300	Corn, starch
000310	Durum wheat flour (semola)
000320	Tapioca (manioc flour)
000330	Wheat germ
000500	Malted bread
000510	Rye bread
000530	Bread,  flour type 0
000540	Bread,  flour type 1
000550	Wholemeal bread
000560	Bread,  flour type 00, rosetta
000570	Bread crumbs
000580	Bread rolls, with milk
000590	Bread rolls, with oil
000600	Bread, unleavened
000700	Pizza, white
000710	Pizza, with tomato
000720	Pizza, with tomato and mozzarella
000800	Pasta,  durum wheat flour, raw
000805	Pasta, durum wheat flour, boiled in distilled water, no salt
000850	Pasta, wholemeal durum wheat, raw
000855	Pasta, wholemeal durum wheat, boiled in distilled water, no salt
000870	Egg pasta, dried, raw
000871	Egg pasta, dried, boiled in distilled water, no salt
000875	Ravioli, pasta stuffed with spinach and ricotta, fresh
000876	Ravioli, pasta stuffed with spinach and ricotta, cooked
000880	Tortellini, fresh
000885	Tortellini, fresh, cooked
000890	Tortellini, dried
000900	Biscuits "Frollini", shortbread
000910	Biscuits, wholemeal
000950	Biscuits, dried
000960	Biscuits with soybean
000970	Biscuits with soybean, wholemeal
000990	Biscuits, wafer
001000	Crackers with cheese
001010	Crackers with soybean
001020	Crackers, salted
001030	Crackers, wholemeal
001500	Rusks
001510	Rusks, wholemeal
002000	Breadsticks
002500	Brioches
002510	Croissants
003000	Bran wheat, small sticks
003020	Corn flakes
003030	Oat bran flakes
003040	Muesli
003050	Puffed Rice, breakfast cereal
004000	Chickpeas, dried, raw
004005	Chickpeas, dried, boiled without salt, drained
004010	Chickpeas, canned, drained, raw
004100	Beans, dried, raw
004105	Beans, dried, boiled in distilled water, no salt, drained
004110	Beans, Borlotti, fresh, raw
004115	Beans, Borlotti, fresh, boiled in distilled water, no salt, drained
004120	Beans, Borlotti, dried, raw
004125	Beans, Borlotti, dried, boiled in distilled water, no salt, drained
004130	Beans, Borlotti, canned, drained
004200	Beans, Cannellini, dried, raw
004205	Beans, Cannellini, dried, boiled in distilled water, no salt, drained
004210	Beans, Cannellini, canned, drained
004220	Cowpeas, dried
004305	Italian flat bean, boiled in distilled water, no salt, drained
004310	Green beans, fresh, raw
004325	Green beans, frozen, boiled in distilled water, no salt, drained
004400	Broad beans, raw
004406	Broad beans, pan-fried without fat and salt
004410	Broad beans, dried, raw
004420	Broad beans, dried, shelled, raw
004425	Broad beans, dried, shelled, boiled in distilled water, no salt, drained
004500	Lentils, dried, raw
