food_id serving_size(g)
000020 80
000025 185
000030 80
000040 80
000045 80
000046 185
000050 80
000060 80
000070 30
000075 70
000076 340
000080 80
000081 80
000090 80
000095 215
000096 80
000097 250
000100 80
000105 260
000110 80
000115 250
000120 80
000125 236
000130 80
000135 240
000140 80
000145 170
000150 30
000200 100
000210 100
000220 100
000230 100
000240 100
000250 100
000260 100
000270 100
000280 100
000290 100
000300 100
000310 100
000320 100
000330 30
000500 50
000510 50
000530 50
000540 50
000550 50
000560 50
000570 100
000580 50
000590 50
000600 50
000700 50
000710 50
000720 50
000800 80
000805 200
000850 80
000855 180
000870 70
000871 210
000875 125
000876 175
000880 125
000885 150
000890 100
000900 30
000910 30
000950 30
000960 30
000970 30
000990 30
001000 30
001010 30
001020 30
001030 30
001500 30
001510 30
002000 30
002500 50
002510 50
003000 30
003020 30
003030 30
003040 30
003050 30
004000 50
004005 290
004010 150
004100 50
004105 120
004110 150
004115 150
004120 50
004125 150
004130 150
004200 50
004205 150
004210 150
004220 50
004305 150
004310 200
004325 200
004400 150
004406 150
004410 50
004420 50
004425 150
004500 50
004505 150
004510 150
004600 150
004700 150
004706 150
004710 50
004720 150
004730 150
004900 50
004910 10
005000 5
005001 5
005002 4
005003 3
005004 3
005010 200
005025 200
005030 200
005040 200
005045 200
005050 200
005060 200
005065 200
005080 200
005084 200
005085 200
005090 200
005095 200
005105 200
005110 200
005120 200
005124 200
005125 200
005130 200
005131 200
005132 200
005134 200
005136 200
005140 200
005150 200
005154 200
005155 200
005160 200
005164 200
005165 200
005170 200
005175 200
005180 200
005185 200
005190 200
005195 200
005200 200
005205 200
005210 200
005215 200
005220 200
005230 200
005240 200
005245 200
005250 200
005300 200
005305 200
005310 200
005315 200
005320 200
005324 200
005325 200
005330 80
005340 200
005350 80
005400 80
005410 80
005420 80
005430 80
005435 80
005436 80
005440 80
005441 80
005442 80
005443 80
005450 80
005460 80
005465 80
005466 80
005470 200
005500 200
005506 200
005507 200
005600 200
005606 200
005610 200
005620 200
005624 200
005630 200
005634 200
005640 200
005650 200
005655 200
005660 200
005665 200
005670 200
005680 200
005684 200
005690 200
005700 200
005704 200
005705 200
005710 200
005720 200
005730 200
005735 200
005740 200
005741 200
005742 200
005744 200
005750 200
005751 200
005752 200
005754 200
006000 200
006006 200
006010 200
006016 200
006020 200
006030 200
006200 5
006500 200
006505 200
006511 200
006514 200
006515 200
006517 200
006570 25
006580 200
006584 200
006585 200
